scenario_id,system_name,expected_guideline_topic,retrieved_topics,hit_at_3,hit_at_5,coverage_rate_at_3,coverage_rate_at_5,covered_topics_at_3,covered_topics_at_5,expected_topic_count
H001,rag_only,healthy diet; physical activity; sleep habits; sedentary behavior,physical activity; sedentary behavior; physical activity; hypertension lifestyle; weight management,True,True,1.0,1.0,healthy diet; physical activity; sleep habits; sedentary behavior,healthy diet; physical activity; sleep habits; sedentary behavior,4
H001,full_pipeline,healthy diet; physical activity; sleep habits; sedentary behavior,physical activity; sedentary behavior; physical activity; hypertension lifestyle; weight management,True,True,1.0,1.0,healthy diet; physical activity; sleep habits; sedentary behavior,healthy diet; physical activity; sleep habits; sedentary behavior,4
H002,rag_only,physical activity; sedentary behavior; muscle strengthening; moderate intensity,sedentary behavior; physical activity; physical activity; low-impact exercise; injury-safe activity,True,True,0.75,0.75,physical activity; sedentary behavior; moderate intensity,physical activity; sedentary behavior; moderate intensity,4
H002,full_pipeline,physical activity; sedentary behavior; muscle strengthening; moderate intensity,sedentary behavior; physical activity; physical activity; low-impact exercise; injury-safe activity,True,True,0.75,0.75,physical activity; sedentary behavior; moderate intensity,physical activity; sedentary behavior; moderate intensity,4
H003,rag_only,healthy diet; sleep habits; physical activity,sleep habits; sleep habits; physical activity; sedentary behavior; hypertension lifestyle,True,True,1.0,1.0,healthy diet; sleep habits; physical activity,healthy diet; sleep habits; physical activity,3
H003,full_pipeline,healthy diet; sleep habits; physical activity,sleep habits; sleep habits; physical activity; sedentary behavior; hypertension lifestyle,True,True,1.0,1.0,healthy diet; sleep habits; physical activity,healthy diet; sleep habits; physical activity,3
H004,rag_only,healthy diet; fruit and vegetables; physical activity,physical activity; physical activity; weight management; healthy diet; hypertension lifestyle,True,True,1.0,1.0,healthy diet; fruit; vegetables; physical activity,healthy diet; fruit; vegetables; physical activity,4
H004,full_pipeline,healthy diet; fruit and vegetables; physical activity,physical activity; physical activity; weight management; healthy diet; hypertension lifestyle,True,True,1.0,1.0,healthy diet; fruit; vegetables; physical activity,healthy diet; fruit; vegetables; physical activity,4
H005,rag_only,physical activity; muscle strengthening; sedentary behavior; healthy diet,physical activity; physical activity; injury-safe activity; low-impact exercise; sedentary behavior,True,True,0.75,0.75,physical activity; muscle strengthening; sedentary behavior,physical activity; muscle strengthening; sedentary behavior,4
H005,full_pipeline,physical activity; muscle strengthening; sedentary behavior; healthy diet,physical activity; physical activity; injury-safe activity; low-impact exercise; sedentary behavior,True,True,0.75,0.75,physical activity; muscle strengthening; sedentary behavior,physical activity; muscle strengthening; sedentary behavior,4
H006,rag_only,sleep habits; healthy diet; physical activity,sleep habits; sleep habits; physical activity; weight management; weight management,True,True,1.0,1.0,sleep habits; healthy diet; physical activity,sleep habits; healthy diet; physical activity,3
H006,full_pipeline,sleep habits; healthy diet; physical activity,sleep habits; sleep habits; physical activity; weight management; weight management,True,True,1.0,1.0,sleep habits; healthy diet; physical activity,sleep habits; healthy diet; physical activity,3
H007,rag_only,healthy diet; physical activity; sedentary behavior,physical activity; weight management; physical activity; hypertension lifestyle; hypertension lifestyle,True,True,1.0,1.0,healthy diet; physical activity; sedentary behavior,healthy diet; physical activity; sedentary behavior,3
H007,full_pipeline,healthy diet; physical activity; sedentary behavior,physical activity; weight management; physical activity; hypertension lifestyle; hypertension lifestyle,True,True,1.0,1.0,healthy diet; physical activity; sedentary behavior,healthy diet; physical activity; sedentary behavior,3
H008,rag_only,weight management; healthy diet; sodium reduction; physical activity,hypertension lifestyle; hypertension lifestyle; weight management; weight management; weight management,True,True,0.75,0.75,weight management; healthy diet; physical activity,weight management; healthy diet; physical activity,4
H008,full_pipeline,weight management; healthy diet; sodium reduction; physical activity,hypertension lifestyle; hypertension lifestyle; weight management; weight management; weight management,True,True,0.75,0.75,weight management; healthy diet; physical activity,weight management; healthy diet; physical activity,4
