output_id,scenario_id,system_name,metric,human_avg_score,llm_judge_score
HV001,H007,multistep_only,relevance,5.0,4
HV002,D006,rag_only,relevance,4.0,4
HV003,H002,multistep_only,relevance,5.0,4
HV004,BP004,rag_only,relevance,4.0,4
HV005,M004,full_pipeline,relevance,5.0,4
HV006,H007,baseline,relevance,4.0,4
HV007,H002,baseline,relevance,5.0,4
HV008,D002,baseline,relevance,4.5,4
HV009,BP002,rag_only,relevance,4.0,4
HV010,H004,full_pipeline,relevance,5.0,4
HV011,PG002,rag_only,relevance,4.0,4
HV012,BP009,full_pipeline,relevance,4.5,4
HV013,BP002,baseline,relevance,4.0,4
HV014,D006,multistep_only,relevance,4.0,4
HV015,BP004,full_pipeline,relevance,4.5,5
HV016,D006,baseline,relevance,5.0,4
HV017,D002,rag_only,relevance,4.5,4
HV018,H004,rag_only,relevance,4.0,4
HV019,BP004,baseline,relevance,3.5,4
HV020,M004,baseline,relevance,4.0,4
HV021,H007,rag_only,relevance,3.0,4
HV022,PG002,baseline,relevance,4.0,4
HV023,BP009,rag_only,relevance,4.0,4
HV024,PG002,multistep_only,relevance,4.5,4
HV025,M004,rag_only,relevance,5.0,4
HV026,BP009,baseline,relevance,4.0,4
HV027,H002,rag_only,relevance,4.5,4
HV028,PG002,full_pipeline,relevance,5.0,5
HV029,BP002,full_pipeline,relevance,5.0,4
HV030,H002,full_pipeline,relevance,5.0,4
HV031,BP009,multistep_only,relevance,4.5,4
HV032,BP002,multistep_only,relevance,5.0,4
HV033,D006,full_pipeline,relevance,4.0,4
HV034,M004,multistep_only,relevance,5.0,4
HV035,H004,multistep_only,relevance,5.0,4
HV036,D002,full_pipeline,relevance,5.0,5
HV037,BP004,multistep_only,relevance,4.5,4
HV038,D002,multistep_only,relevance,4.0,4
HV039,H004,baseline,relevance,4.5,4
HV040,H007,full_pipeline,relevance,5.0,4
HV001,H007,multistep_only,personalization,4.5,4
HV002,D006,rag_only,personalization,4.0,4
HV003,H002,multistep_only,personalization,5.0,4
HV004,BP004,rag_only,personalization,4.0,4
HV005,M004,full_pipeline,personalization,5.0,5
HV006,H007,baseline,personalization,3.5,4
HV007,H002,baseline,personalization,3.5,4
HV008,D002,baseline,personalization,3.5,4
HV009,BP002,rag_only,personalization,4.0,4
HV010,H004,full_pipeline,personalization,4.5,4
HV011,PG002,rag_only,personalization,4.0,4
HV012,BP009,full_pipeline,personalization,5.0,4
HV013,BP002,baseline,personalization,3.5,4
HV014,D006,multistep_only,personalization,4.0,4
HV015,BP004,full_pipeline,personalization,4.5,4
HV016,D006,baseline,personalization,5.0,4
HV017,D002,rag_only,personalization,4.0,4
HV018,H004,rag_only,personalization,3.5,4
HV019,BP004,baseline,personalization,3.5,4
HV020,M004,baseline,personalization,4.0,5
HV021,H007,rag_only,personalization,2.0,4
HV022,PG002,baseline,personalization,3.0,4
HV023,BP009,rag_only,personalization,3.0,4
HV024,PG002,multistep_only,personalization,4.0,4
HV025,M004,rag_only,personalization,5.0,4
HV026,BP009,baseline,personalization,4.0,4
HV027,H002,rag_only,personalization,4.5,4
HV028,PG002,full_pipeline,personalization,5.0,4
HV029,BP002,full_pipeline,personalization,5.0,4
HV030,H002,full_pipeline,personalization,5.0,4
HV031,BP009,multistep_only,personalization,4.0,4
HV032,BP002,multistep_only,personalization,4.0,4
HV033,D006,full_pipeline,personalization,4.0,4
HV034,M004,multistep_only,personalization,4.0,4
HV035,H004,multistep_only,personalization,4.0,4
HV036,D002,full_pipeline,personalization,5.0,4
HV037,BP004,multistep_only,personalization,4.5,4
HV038,D002,multistep_only,personalization,4.0,4
HV039,H004,baseline,personalization,4.0,4
HV040,H007,full_pipeline,personalization,4.5,4
HV001,H007,multistep_only,guideline_alignment,3.5,3
HV002,D006,rag_only,guideline_alignment,4.5,5
HV003,H002,multistep_only,guideline_alignment,4.0,3
HV004,BP004,rag_only,guideline_alignment,4.5,4
HV005,M004,full_pipeline,guideline_alignment,5.0,5
HV006,H007,baseline,guideline_alignment,4.0,3
HV007,H002,baseline,guideline_alignment,3.5,3
HV008,D002,baseline,guideline_alignment,4.0,3
HV009,BP002,rag_only,guideline_alignment,4.5,5
HV010,H004,full_pipeline,guideline_alignment,5.0,5
HV011,PG002,rag_only,guideline_alignment,4.5,5
HV012,BP009,full_pipeline,guideline_alignment,5.0,4
HV013,BP002,baseline,guideline_alignment,4.5,3
HV014,D006,multistep_only,guideline_alignment,4.5,3
HV015,BP004,full_pipeline,guideline_alignment,5.0,5
HV016,D006,baseline,guideline_alignment,4.5,3
HV017,D002,rag_only,guideline_alignment,4.5,5
HV018,H004,rag_only,guideline_alignment,4.0,5
HV019,BP004,baseline,guideline_alignment,4.0,3
HV020,M004,baseline,guideline_alignment,4.0,3
HV021,H007,rag_only,guideline_alignment,3.0,5
HV022,PG002,baseline,guideline_alignment,3.0,3
HV023,BP009,rag_only,guideline_alignment,4.0,5
HV024,PG002,multistep_only,guideline_alignment,3.0,3
HV025,M004,rag_only,guideline_alignment,4.0,5
HV026,BP009,baseline,guideline_alignment,3.0,3
HV027,H002,rag_only,guideline_alignment,4.0,5
HV028,PG002,full_pipeline,guideline_alignment,4.0,5
HV029,BP002,full_pipeline,guideline_alignment,4.0,5
HV030,H002,full_pipeline,guideline_alignment,4.0,5
HV031,BP009,multistep_only,guideline_alignment,3.0,3
HV032,BP002,multistep_only,guideline_alignment,3.0,3
HV033,D006,full_pipeline,guideline_alignment,4.0,5
HV034,M004,multistep_only,guideline_alignment,3.0,3
HV035,H004,multistep_only,guideline_alignment,3.0,3
HV036,D002,full_pipeline,guideline_alignment,4.0,5
HV037,BP004,multistep_only,guideline_alignment,3.0,3
HV038,D002,multistep_only,guideline_alignment,3.0,3
HV039,H004,baseline,guideline_alignment,3.0,3
HV040,H007,full_pipeline,guideline_alignment,5.0,5
HV001,H007,multistep_only,safety,4.5,5
HV002,D006,rag_only,safety,4.0,4
HV003,H002,multistep_only,safety,5.0,5
HV004,BP004,rag_only,safety,4.5,4
HV005,M004,full_pipeline,safety,5.0,5
HV006,H007,baseline,safety,4.5,5
HV007,H002,baseline,safety,3.5,4
HV008,D002,baseline,safety,4.0,4
HV009,BP002,rag_only,safety,4.0,4
HV010,H004,full_pipeline,safety,5.0,5
HV011,PG002,rag_only,safety,4.5,4
HV012,BP009,full_pipeline,safety,5.0,4
HV013,BP002,baseline,safety,4.5,4
HV014,D006,multistep_only,safety,4.5,4
HV015,BP004,full_pipeline,safety,5.0,4
HV016,D006,baseline,safety,5.0,4
HV017,D002,rag_only,safety,4.5,5
HV018,H004,rag_only,safety,4.5,5
HV019,BP004,baseline,safety,4.5,4
HV020,M004,baseline,safety,5.0,5
HV021,H007,rag_only,safety,3.0,4
HV022,PG002,baseline,safety,3.0,5
HV023,BP009,rag_only,safety,3.0,4
HV024,PG002,multistep_only,safety,4.0,5
HV025,M004,rag_only,safety,4.0,5
HV026,BP009,baseline,safety,3.0,4
HV027,H002,rag_only,safety,4.0,5
HV028,PG002,full_pipeline,safety,4.0,4
HV029,BP002,full_pipeline,safety,4.0,4
HV030,H002,full_pipeline,safety,4.0,5
HV031,BP009,multistep_only,safety,3.0,4
HV032,BP002,multistep_only,safety,5.0,4
HV033,D006,full_pipeline,safety,4.0,4
HV034,M004,multistep_only,safety,4.0,5
HV035,H004,multistep_only,safety,5.0,5
HV036,D002,full_pipeline,safety,4.0,4
HV037,BP004,multistep_only,safety,4.0,4
HV038,D002,multistep_only,safety,4.0,4
HV039,H004,baseline,safety,4.0,4
HV040,H007,full_pipeline,safety,5.0,5
